name,official_website,email,phone,address,causes,source_url,lat,lon,Assigned AICTE Activities
Pratham Books,https://prathambooks.org,hello@prathambooks.org,+91 80 4205 2574 / 4115 9009,"House #333, 1st Floor, 4th Cross, OMBR Layout, Banaswadi, Bengaluru 560043, Karnataka, India","Children's books, reading promotion, libraries, literacy",https://prathambooks.org/contact-us/,12.9716,77.5946,• Helping local schools to achieve good results and enhance their enrolment in Higher/technical/Vocational Education
Christel House India,https://in.christelhouse.org/,info@christelhouseindia.org,+91 76249 99151 / 152 / 153 / 154,"Bellahalli Road (Off Hennur Road), Kannur Post via Bagalur, Bangalore – 562149, Karnataka, India",Education and long-term support for underserved children,https://in.christelhouse.org/contact/,12.9716,77.5946,• Helping local schools to achieve good results and enhance their enrolment in Higher/technical/Vocational Education
The Nudge Institute,https://www.thenudge.org/,,,"1st floor, Rigel, No. 15-19, Doddanekkundi, Marathahalli Outer Ring Road, Bengaluru, Karnataka – 560037, India","Livelihoods, poverty alleviation, social entrepreneurship, skilling",https://www.thenudge.org/contact-us/,12.9569,77.7011,• To Skill rural population• Preparing an actionable business proposal for enhancing the village Income• Spreading public awareness under rural outreach programmes
eVidyaloka Trust,https://www.evidyaloka.org/,donate@evidyaloka.org (general contact: talktosomeone@evidyaloka.org),"+91 80 3122 3000 (Head office), WhatsApp: +91 63664 44487","2020, South End 'E' Main Road, 9th Block, Jayanagar, Bengaluru - 560011 (Head Office)","Rural education, digital classrooms, volunteer teaching",https://www.evidyaloka.org/contact-us,12.925,77.5938,• Promotion of Appropriate Technologies• To Skill rural population• Contribution to Digital India/Skill India• Helping local schools to achieve good results...
Hasiru Dala,https://hasirudala.in,info@hasirudala.in,+91 80 4164 7801,"No. 194, 1st Floor, 1st Main Road, S.T. Bed Layout, Koramangala, Bengaluru – 560034","Waste management, livelihoods, circular economy",https://hasirudala.in/contact,12.9352,77.6245,• Developing and managing efficient garbage disposable system• Preparing an actionable business proposal for enhancing the village Income
The Akshaya Patra Foundation,https://www.akshayapatra.org,info@akshayapatra.org,1800 425 8622,"#72, 3rd Floor, 3rd Main Road, Yeshwantpur Industrial Suburb, Rajaji Nagar, Bengaluru – 560022","Mid-day meals, child nutrition, hunger alleviation",https://www.akshayapatra.org/contact-us,12.9716,77.5946,• Helping local schools to achieve good results...• Food preservation/packaging
Agastya International Foundation,https://www.agastya.org,info@agastya.org,+91 80 2802 5200,"#588, 15th Cross, 1st Phase, J.P. Nagar, Bengaluru – 560078","Science education, creativity labs, mobile science labs",https://www.agastya.org/contact-us,12.9716,77.5946,• Promotion of Appropriate Technologies• Helping local schools to achieve good results...
Swasti,https://www.swasti.org,connect@swasti.org,+91 80 4151 2420,"No. 53, 2nd Floor, 1st Main Road, Koramangala 1st Block, Bengaluru – 560034","Public health, gender equity, well-being",https://www.swasti.org/contact,12.9352,77.6245,• Spreading public awareness under rural outreach programmes• Setting of the information imparting club for women leading to contribution in social and economic issues
Dream a Dream,https://dreamadream.org,info@dreamadream.org,+91 80 4095 6533,"No. 398/E, 17th Cross, 27th Main, 6th Sector, HSR Layout, Bengaluru – 560102","Life skills education, youth development",https://dreamadream.org/contact-us,12.9105,77.641,• To Skill rural population• Spreading public awareness under rural outreach programmes• Helping local schools to achieve good results...
Meghshala Trust,https://www.meghshala.org,info@meghshala.org,,"#12, 13th Cross Road, Vasanth Nagar, Bengaluru – 560052","Teacher empowerment, digital learning",https://www.meghshala.org/contact,12.9716,77.5946,• Promotion of Appropriate Technologies• Contribution to Digital India/Skill India• Helping local schools to achieve good results...
Mantra4Change,https://mantra4change.org,info@mantra4change.org,,"No. 14, 1st Cross Rd, 1st Block Koramangala, Bengaluru – 560034","Education reform, leadership training",https://mantra4change.org/contact,12.9352,77.6245,• To Skill rural population• Helping local schools to achieve good results...
Buzz Women,https://buzzwomen.org,india@buzzwomen.org,,"JP Nagar 1st Phase, Bengaluru – 560078","Women empowerment, financial literacy",https://buzzwomen.org/contact-us,12.9716,77.5946,• Setting of the information imparting club for women...• Facilitating 100% Digitized money transactions• Helping local schools to achieve good results...
Makkala Jagriti,https://www.makkalajagriti.org,info@makkalajagriti.org,+91 80 2354 2110,"No. 71, 3rd Cross, 8th Main, Malleshwaram, Bengaluru – 560003","Child development, youth empowerment",https://www.makkalajagriti.org/contact-us,13.0033,77.5692,• To Skill rural population• Spreading public awareness under rural outreach programmes• Helping local schools to achieve good results...
Diya Foundation,https://diyafoundation-india.org,diya.foundation@gmail.com,+91 80 2343 3292,"No. 50, Wheeler Road Extension, Cooke Town, Bengaluru – 560005","Disability inclusion, vocational training",https://diyafoundation-india.org/contact-us,12.9716,77.5946,• To Skill rural population
Make A Difference (MAD),https://makeadiff.in,contact@makeadiff.in,,Multiple centers; national HQ listed on official site,"Volunteer-driven youth empowerment, education support for vulnerable children",https://makeadiff.in/contact,12.9716,77.5946,• To Skill rural population• Helping local schools to achieve good results...
Saahas,https://saahas.org,info@saahas.org,+91 80 4168 9889,"Saahas, #19, 1st Floor, 1st Main, S.T. Bed Layout, Koramangala, Bengaluru – 560034","Waste management, sustainability, zero-waste systems",https://saahas.org/contact-us,12.9352,77.6245,• Developing and managing efficient garbage disposable system
Spastics Society of Karnataka,https://spasticssocietyofkarnataka.org,office@spasticssocietyofkarnataka.org,+91 80 4148 1777,"31, 5th Main, Indiranagar 1st Stage, Bengaluru – 560038","Disability support, special education, rehabilitation",https://spasticssocietyofkarnataka.org/contact-us,12.9718,77.6412,• Helping local schools to achieve good results...
Children’s Lovecastles Trust (CLT India),https://cltindia.org,info@cltindia.org,+91 96061 84748,"CLT India, #702, 7th Floor, North Block, Mantri Commercio, Bellandur, Bengaluru – 560037","Digital learning solutions, education for rural children",https://cltindia.org/contact/,12.9716,77.5946,• Promotion of Appropriate Technologies• Contribution to Digital India/Skill India• Helping local schools to achieve good results...
ASHA – Academy for Severe Handicaps and Autism,https://ashaforautism.org,ashaforautism@gmail.com,+91 80 2322 4275,"L–76/A, Kirloskar Colony, 3rd Stage, Basaveshwaranagar, Bengaluru – 560079","Autism support, special education, rehabilitation for children with severe disabilities",https://ashaforautism.org/contact/,12.9716,77.5946,• Developing Sustainable Water Management system
SayTrees Environmental Trust,https://saytrees.org,info@saytrees.org,+91 96635 77758,"SayTrees Office, Basapura Main Road, Near Electronic City, Bengaluru – 560100","Environmental conservation, tree plantation, lake rejuvenation",https://saytrees.org/contact,12.9716,77.5946,• Helping local schools to achieve good results...• Developing and managing efficient garbage disposable system
Bhumi,https://bhumi.ngo,contact@bhumi.ngo,+91 81444 58333,National org; operates across Bengaluru (local volunteer chapters),"Education, volunteering, environment, civic initiatives",https://bhumi.ngo/contact/,12.9716,77.5946,• Preparing an actionable business proposal for enhancing village Income• Helping local schools to achieve good results...
Smile Foundation (Bengaluru Programs),https://smilefoundationindia.org,info@smilefoundationindia.org,+91 11 4312 3700,"National HQ: Vasant Kunj, New Delhi; runs multiple projects in Bengaluru","Education, health, livelihood programs for children and families",https://smilefoundationindia.org/contact-us/,12.9716,77.5946,• Helping local schools to achieve good results...
BOSCO Bengaluru,https://boscoban.org,boscoban@gmail.com,+91 70261 11499,"BOSCO Yuvodaya, Chamrajpet, Bengaluru – 560018",Rescue and rehabilitation of street children,https://boscoban.org/contact,12.9716,77.5946,• General Community Service / Awareness
Karunashraya (Bangalore Hospice Trust),https://karunashraya.org,info@karunashraya.org,+91 80 4268 5666,"Bangalore Hospice Trust, Marathahalli, Varthur Main Road, Bengaluru – 560037",Free palliative care for advanced-stage cancer patients,https://karunashraya.org/contact/,12.9569,77.7011,• General Community Service / Awareness (Cleanliness Drives)
The Ugly Indian,https://theuglyindian.com,,,Bangalore (public initiative; decentralized volunteer chapters),"Urban cleanliness, spot-fixing, civic participation",https://theuglyindian.com,12.9716,77.5946,• Setting of the information imparting club for women...• Tourism Promotion Innovative Approaches (Art Activism)
Blank Noise,https://blanknoise.org,info@blanknoise.org,,Based in Bengaluru (community arts collective; no fixed public office),"Gender justice, public safety, participatory art activism",https://blanknoise.org/contact,12.9716,77.5946,• General Community Service / Awareness
People for Animals - Bangalore,https://www.peopleforanimalsbangalore.org,pfabangalore@gmail.com,+91 80229 72354,"No. 28/1, 1st Cross, Hutting Colony, Hebbal, Bengaluru – 560024","Animal rescue, shelter, wildlife rehabilitation",https://www.peopleforanimalsbangalore.org/contact-us,13.0358,77.597,• Spreading public awareness under rural outreach programmes• Helping local schools to achieve good results...
U&I (U and I),https://uandi.org.in,info@uandi.org.in,+91 63664 54040,"U&I, Bengaluru (HQ address publicly listed through volunteer office)","Education for underprivileged children, volunteering, community development",https://uandi.org.in/contact,12.9716,77.5946,• Helping local schools to achieve good results... (Environmental Ed.)
A Rocha India,https://india.arocha.org,india@arocha.org,+91 80 2244 1459,"A Rocha India Field Study Centre, Bannerghatta, Bengaluru – 560083","Conservation, biodiversity research, environmental education",https://india.arocha.org/contact-us,12.9716,77.5946,• Tourism Promotion Innovative Approaches (Art)• Spreading public awareness...• Setting of the information imparting club for women...
Aravani Art Project,https://www.aravaniartproject.com,aravani.art.project@gmail.com,,Bengaluru-based transfeminine collective (publicly no fixed office),"Transgender empowerment, public art, social inclusion",https://www.aravaniartproject.com/contact,12.9716,77.5946,• Developing and managing efficient garbage disposable system• Spreading public awareness...
Waste Warriors,https://wastewarriors.org,info@wastewarriors.org,+91 91050 20444,Operates in multiple cities; Bangalore project sites are field-based,"Waste management, plastic reduction, community cleanups",https://wastewarriors.org/contact,12.9716,77.5946,• Helping local schools to achieve good results...
CRY (Child Rights and You) - Bengaluru,https://www.cry.org,cryinfo@crymail.org,+91 80 2558 8394,"CRY Regional Office, 1st Floor, 35/1, Hutchins Road, St. Thomas Town, Bengaluru – 560084","Child rights, education, health, protection",https://www.cry.org/contact-us,12.9716,77.5946,• To Skill rural population• Helping local schools to achieve good results...
Samarthanam Trust for the Disabled,https://www.samarthanam.org,info@samarthanam.org,+91 80 2837 1979,"CA-11, 15th Cross, 16th Main, Sector 4, HSR Layout, Bengaluru – 560102","Disability support, education, skilling, sports promotion",https://www.samarthanam.org/contact,12.9105,77.641,• Setting of the information imparting club for women...• Helping local schools to achieve good results...
BOSCO (Bengaluru),https://boscoban.org,boscoban@gmail.com,+91 70261 11499,"BOSCO Yuvodaya, Chamarajpet, Bengaluru – 560018","Rescue, rehabilitation & education for street children",https://boscoban.org/contact,12.9716,77.5946,• To Skill rural population• Contribution to Skill India• Helping local schools to achieve good results...
SOS Children's Villages - Bangalore,https://www.soschildrensvillages.in,info@soscvindia.org,+91 80 2580 1131,"SOS Children's Village Bangalore, Bannerghatta Road, Bengaluru – 560076","Child care, family strengthening, education",https://www.soschildrensvillages.in/contact-us,12.9716,77.5946,• To Skill rural population• Helping local schools to achieve good results...
"ACCESS – Association for Community Care, Education & Social Services",,,,Bengaluru (community outreach projects; limited public contact details),"Community care, education, women empowerment",,12.9716,77.5946,• Spreading public awareness... (Civic issues)• Contribution to national initiatives (Swachh Bharat/Smart Cities)
Karunashraya,https://karunashraya.org,info@karunashraya.org,+91 80 4268 5666,"Bangalore Hospice Trust, Marathahalli, Varthur Main Road, Bengaluru – 560037",Free palliative care for advanced cancer patients,https://karunashraya.org/contact,12.9569,77.7011,• Spreading public awareness under rural outreach programmes (Health Camps)
Christel House India (Bengaluru),https://in.christelhouse.org,info@christelhouseindia.org,+91 76249 99151,"Bellahalli Road, Near Hennur–Bagalur Road, Bengaluru – 562149",Holistic education for underprivileged children,https://in.christelhouse.org/contact,12.9716,77.5946,• To Skill rural population• Helping local schools to achieve good results...
Nirmaan Organisation (Bengaluru),https://nirmaan.org,info@nirmaan.org,+91 40 2301 5678,Operates across Bengaluru through project offices,"Youth empowerment, education, skill development",https://nirmaan.org/contact-us,12.9716,77.5946,• To Skill rural population• Helping local schools to achieve good results...
Asha for Education – Bengaluru Chapter,https://ashanet.org,,,Volunteer-run; chapter meetings in Bengaluru,Education access for underprivileged children,https://ashanet.org/chapters,12.9716,77.5946,• Setting of the information imparting club for women...• Helping local schools to achieve good results...
Centre for Wildlife Studies (CWS),https://cwsindia.org,info@cwsindia.org,+91 80 2366 9299,"CWS, No. 551, 7th Main Road, Rajiv Gandhi Nagar, Kodigehalli, Bengaluru – 560097","Wildlife conservation, research, community coexistence",https://cwsindia.org/contact,12.9716,77.5946,• Setting of the information imparting club for women...• Helping local schools to achieve good results...
Pratham (Education Org),https://pratham.org,info@pratham.org,+91 11 2671 6000,National HQ in Delhi; Bengaluru projects managed via state units,"Foundational learning, literacy, education reform",https://pratham.org/contact,12.9716,77.5946,• Spreading public awareness under rural outreach programmes• Helping local schools to achieve good results...
Robin Hood Army (Bengaluru),https://robinhoodarmy.com,,+91 89719 66164 (WhatsApp chapter contact),Volunteer-run chapters across Bengaluru,"Volunteer food distribution, surplus food rescue",https://robinhoodarmy.com,12.9716,77.5946,• Developing Sustainable Water Management system• Developing and managing efficient garbage disposable system• Helping local schools to achieve good results...
Feeding India (Bengaluru chapter),https://www.feedingindia.org,,,Operates city chapters; contact via Feeding India contact page,"Hunger relief, cooked meal distribution, food rescue",https://www.feedingindia.org/contact,12.9716,77.5946,• General Community Service / Awareness (Conservation)
GiveIndia (Bengaluru office),https://www.giveindia.org,info@giveindia.org,+91 22 6173 9400,Multiple offices; local Bengaluru outreach teams (HSR/Residency Road listings),Online donation platform; funds vetted NGOs across causes,https://www.giveindia.org,12.9105,77.641,• Helping local schools to achieve good results and enhance their enrolment in Higher/technical/Vocational Education
India Gives Foundation,https://indiagivesfoundation.org,indiagivesfoundation@gmail.com,+91 82775 29316,"PNB Layout, Konanakunte, Bengaluru – 560062","Child welfare, women empowerment, mental health support",https://indiagivesfoundation.org/contact/,12.9716,77.5946,• Food preservation/packaging• Helping local schools to achieve good results... (Nutrition Ed.)
Smile Foundation (Bengaluru activities),https://smilefoundationindia.org,info@smilefoundationindia.org,+91 11 4312 3700,"National HQ: Vasant Kunj, New Delhi; Bengaluru program offices vary","Education, healthcare, livelihood programs for children and families",https://smilefoundationindia.org/contact-us/,12.9716,77.5946,• Helping local schools to achieve good results...
Sambhav Foundation,https://sambhav.org.in,info@sambhav.org.in,,Bengaluru-based; project offices (varies by program),"Community development, education, livelihood programs",https://sambhav.org.in/contact,12.9716,77.5946,• Promotion of Appropriate Technologies (Assistive Tech)• To Skill rural population
Karuna Animal Shelter,https://karunaanimalwelfare.org,karunaaw@yahoo.com,080 - 23411181,"Shelter at Veterinary College Campus, Hebbal, Bangalore – 560024","Animal welfare, shelter, sterilization, rescue operations",https://karunaanimalwelfare.org/contact-us/,13.0358,77.597,• Setting of the information imparting club for women...• Helping local schools to achieve good results...
ALAI Rescues,https://alairescues.in,info.alairescue@gmail.com,+91 97392 88282,"ALAI Rescue, Bagalur / Hennur-Bagalur Road, Bangalore","Animal rescue, clinic services, rehabilitation",https://alairescues.in/contact-us/,12.9716,77.5946,• General Community Service / Awareness
Krupa Loving Animal,https://krupaanimalsbangalore.wordpress.com,N/A (phone-based contact),9880563690,"Kengeri Satellite Town / Kengeri, Bangalore","Animal hospital, shelter, treatment and rehabilitation",https://krupaanimalsbangalore.wordpress.com,12.9716,77.5946,• Spreading public awareness under rural outreach programmes• Helping local schools to achieve good results...
Bhumi (volunteer organisation),https://bhumi.ngo,contact@bhumi.ngo,+91 81444 58333,Operates via local volunteer chapters in Bengaluru,"Education, volunteering, environment, civic initiatives",https://bhumi.ngo/contact/,12.9716,77.5946,• Developing Sustainable Water Management system• Creating an awareness regarding rain water harvesting in urban and rural area
Teach For India (Bengaluru),https://teachforindia.org,info@teachforindia.org,,Teach For India – Bengaluru Region Office,"Educational equity, teaching fellowship, leadership development",https://teachforindia.org/contact-us,12.9716,77.5946,• Setting of the information imparting club for women...• Helping local schools to achieve good results...
iVolunteer (Bengaluru),https://www.ivolunteer.in,info@ivolunteer.in,+91 98453 43227,iVolunteer Bengaluru Centre,Volunteering platform connecting volunteers to NGOs,https://www.ivolunteer.in/contact-us,12.9716,77.5946,• Setting of the information imparting club for women...• Helping local schools to achieve good results...
SayTrees Environmental Trust (Alternate Entry),https://saytrees.org,info@saytrees.org,+91 96635 77758,"SayTrees Office, Basapura Main Road, Electronic City, Bengaluru – 560100","Tree plantation, urban forestry, lake rejuvenation",https://saytrees.org/contact,12.9716,77.5946,• Preparing an actionable business proposal for enhancing village Income• Developing and managing efficient garbage disposable system (Recycling)
Bangalore Cares,https://bangalorecares.in,info@bangalorecares.in,,"NGO collective office, Bengaluru","Nonprofit capacity building, fundraising, NGO partnerships",https://bangalorecares.in/contact,12.9716,77.5946,• Setting of the information imparting club for women...• Preparing an actionable business proposal for enhancing village Income
Janaagraha Centre for Citizenship and Democracy,https://janaagraha.org,contact@janaagraha.org,+91 80 4090 7700,"Janaagraha, 4th Floor, UNI Building, Thimmaiah Road, Bengaluru – 560052","Civic participation, urban governance, public policy",https://janaagraha.org/contact-us,12.9716,77.5946,• Spreading public awareness under rural outreach programmes
Sankara Eye Foundation (Bengaluru Activities),https://www.sankaraeye.com,info@sankaraeye.com,1800 208 0088,"Sankara Eye Hospital, Kundalahalli Gate, Bengaluru – 560066","Eye care, surgeries, rural outreach programs",https://www.sankaraeye.com/contact-us,12.9716,77.5946,• General Community Service / Awareness
